id,year,category,title,authors,journal,type,population,doi,url,oa,grade,directness,key,app,tags
HUTCHINSON2026_SIT,2026,HIIT and VO2max,Number of Sprint Repetitions in a Sprint Interval Training Session Does Not Moderate Improvements in V̇O₂max With Training: A Systematic Review and Meta-Analysis,Hutchinson M; Kinghorn DJ; Hall ECR; et al.,Scandinavian Journal of Medicine & Science in Sports,Systematic review + meta-analysis,93 trials across 78 studies; n=1188,10.1111/sms.70347,https://doi.org/10.1111/sms.70347,True,A,All-out cycling SIT,"Sprint interval training improved VO2max substantially across studies, but doing more sprint repetitions per session did not explain larger improvements.","If prescribing SIT, avoid assuming more repetitions are better. Use the minimum effective, tolerable dose and account for high fatigue and adherence cost.",SIT;VO2max;sprint
LEO2022_POWER_PROFILE,2022,Testing and physiology,Power profiling and the power-duration relationship in cycling: a narrative review,Leo P; Spragg J; Podlogar T; Lawley JS; Mujika I,European Journal of Applied Physiology,Narrative review,Cycling,10.1007/s00421-021-04833-y,https://doi.org/10.1007/s00421-021-04833-y,True,B,Cycling-specific,Structured multi-duration testing and power-duration modelling provide a richer cyclist fingerprint than single-effort metrics; the authors recommend avoiding single-effort prediction trials such as FTP as the sole model.,"Build a power-duration curve from multiple efforts and recent ride data. Use FTP as a convenient field metric, not the only anchor for zones or progression.",critical-power;FTP;power-duration;testing
MACKEY2021_FTP20,2021,Testing and physiology,What is known about the FTP20 test related to cycling? A scoping review,Mackey J; Horner K,Journal of Sports Sciences,Scoping review,Cycling; 15 studies,10.1080/02640414.2021.1955515,https://doi.org/10.1080/02640414.2021.1955515,False,B,Cycling-specific,FTP20 is generally reliable but shows limits of agreement with physiological threshold markers large enough that the measures should not be treated as interchangeable.,Label FTP as an estimate/field performance metric. Never claim that 95% of 20-min power precisely equals lactate threshold or maximal metabolic steady state for every rider.,FTP;threshold;testing
HUNTER2025_DURABILITY,2025,Durability,Durability as an index of endurance exercise performance: Methodological considerations,Hunter B; Maunder E; Jones AM; Gallo G; Muniz-Pumares D,Experimental Physiology,Review,Endurance athletes,10.1113/EP092120,https://doi.org/10.1113/EP092120,True,B,Endurance; highly relevant to cycling,"Durability is the resilience of physiological/performance variables to deterioration during or after prolonged exercise. Results are strongly influenced by the fatiguing protocol, nutrition and environment.",Track power/HR/decoupling and changes in short-to-medium duration power after accumulated work. Standardize pre-test fuelling and conditions before comparing durability scores.,durability;fatigue-resistance;testing
BARSUMYAN2025_DURABILITY,2025,Durability,Durability as an independent parameter of endurance performance in cycling,Barsumyan A; Soost C; Shyla R; et al.,"BMC Sports Science, Medicine and Rehabilitation",Cycling study,20 well-trained amateur road cyclists,10.1186/s13102-025-01238-8,https://doi.org/10.1186/s13102-025-01238-8,True,B,Cycling-specific,"After 1000 kJ of prior work, 5- and 20-min power fell by about 10% on average; durability was not clearly related to VO2max or relative FTP.",Treat durability as a separate performance dimension. Include “fresh vs fatigued power” tests for long-event athletes rather than assuming a high FTP means strong late-race performance.,durability;FTP;fatigue-resistance
LLANOSLAGOS2025_STRENGTH,2025,Strength training,Heavy strength training effects on physiological determinants of endurance cyclist performance: a systematic review with meta-analysis,Llanos-Lagos C; Ramirez-Campillo R; Sáez de Villarreal E,European Journal of Applied Physiology,Systematic review + meta-analysis,"17 studies, 262 cyclists",10.1007/s00421-025-05883-2,https://doi.org/10.1007/s00421-025-05883-2,True,A,Cycling-specific,"Heavy strength training (≥80% 1RM) improved cycling efficiency, anaerobic power and cycling performance, without clear effects on VO2max. Benefits appear after sufficient duration/dose.","For healthy riders, use 2 strength sessions/week in development blocks, centred on heavy lower-body compound lifts; maintain with ~1 session/week when cycling intensity/competition rises.",strength;heavy-resistance;cycling-efficiency
RONNESTAD2014_OPTIMIZE_STRENGTH,2014,Strength training,Optimizing strength training for running and cycling endurance performance: A review,Rønnestad BR; Mujika I,Scandinavian Journal of Medicine & Science in Sports,Review,Endurance runners and cyclists,10.1111/sms.12104,https://doi.org/10.1111/sms.12104,False,B,Cycling + running,"Heavy strength training can improve endurance performance determinants through neuromuscular and efficiency-related mechanisms, with appropriate integration into endurance training.",Prioritize maximal strength and neural quality over bodybuilding-style fatigue. Use long rests and avoid routine lifting to failure.,strength;concurrent;economy
RONNESTAD2015_25W_STRENGTH,2015,Strength training,Strength training improves performance and pedaling characteristics in elite cyclists,Rønnestad BR; Hansen J; Hollan I; Ellefsen S,Scandinavian Journal of Medicine & Science in Sports,25-week controlled training intervention,16 young elite cyclists,10.1111/sms.12257,https://doi.org/10.1111/sms.12257,False,B,Cycling-specific,Long-term heavy strength training improved several cycling performance determinants and performance outcomes in well-trained cyclists.,"Strength gains need months, not a token 2–3 week block. Make strength a year-round component with development and maintenance phases.",strength;cycling;long-term
SCHUMANN2022_CONCURRENT,2022,Strength training,Compatibility of Concurrent Aerobic and Strength Training for Skeletal Muscle Size and Function: An Updated Systematic Review and Meta-Analysis,Schumann M; Feuerbacher JF; Sünkeler M; et al.,Sports Medicine,Systematic review + meta-analysis,43 studies; healthy adults,10.1007/s40279-021-01587-7,https://doi.org/10.1007/s40279-021-01587-7,True,A,General concurrent training; cycling subgroup assessed,"Concurrent endurance + strength generally does not compromise hypertrophy or maximal strength, but explosive strength gains can be attenuated, especially when both are performed in the same session.","Separate key strength and key endurance sessions by several hours or different days when possible. If same day, order by the primary adaptation goal and keep the second session low-cost.",concurrent;strength;interference
ARNTZ2023_STRETCH,2023,Mobility and stretching,Chronic Effects of Static Stretching Exercises on Muscle Strength and Power in Healthy Individuals Across the Lifespan: A Systematic Review with Multi-level Meta-analysis,Arntz F; Markov A; Behm DG; et al.,Sports Medicine,Systematic review + meta-analysis,41 controlled studies,10.1007/s40279-022-01806-9,https://doi.org/10.1007/s40279-022-01806-9,True,A,General population/athletes; indirect to cycling,Long-term static stretching improves flexibility and may produce trivial-to-small positive strength/power effects; it is not inherently harmful when programmed appropriately.,Use stretching mainly for range of motion and comfort goals. Do not market it as a major cycling-performance intervention.,stretching;flexibility;ROM
SKOPAL2024_MOBILITY,2024,Mobility and stretching,Application of mobility training methods in sporting populations: A systematic review of performance adaptations,Skopal LK; Drinkwater EJ; Behm DG,Journal of Sports Sciences,Systematic review,22 sports studies,10.1080/02640414.2024.2321006,https://doi.org/10.1080/02640414.2024.2321006,True,B,Sporting populations; indirect to cycling,"Mobility interventions can improve range of motion and selected physical-performance measures, but methods and outcomes vary.","Offer short mobility routines based on measured restriction or rider comfort, not mandatory generic mobility volume for everyone.",mobility;ROM;performance
YOGA2025_TRACK,2025,Yoga,Effect of yoga on selected performance metrics and mental health of track and field athletes: A systematic review,Multiple authors,Journal of Bodywork and Movement Therapies,Systematic review,Track and field athletes,10.1016/j.jbmt.2025.08.006,https://doi.org/10.1016/j.jbmt.2025.08.006,False,C,Athletes but not cycling-specific,"Yoga appears useful for flexibility, balance and some wellbeing/performance measures, but direct cycling-performance evidence remains sparse and study quality is limited.","Position yoga as an optional adjunct for mobility, balance, breathing/relaxation and adherence—not a substitute for cycling or strength training.",yoga;flexibility;wellbeing
LI2024_RECOVERY,2024,Recovery,Effectiveness of Recovery Strategies After Training and Competition in Endurance Athletes: An Umbrella Review,Li S; Kempe M; Brink M; et al.,Sports Medicine - Open,Umbrella review,22 reviews; 63 studies; ~1100 endurance athletes,10.1186/s40798-024-00724-6,https://doi.org/10.1186/s40798-024-00724-6,True,A,Endurance athletes,"No recovery modality is consistently superior across outcomes. Some modalities may help particular soreness/perception outcomes, but effects on subsequent performance are inconsistent.","Prioritize sleep, nutrition, rest and load management. Treat massage, compression, cold water and similar tools as optional, context-dependent add-ons.",recovery;cold-water;compression;massage
WALSH2021_SLEEP,2021,Recovery,Sleep and the athlete: narrative review and 2021 expert consensus recommendations,Walsh NP; Halson SL; Sargent C; et al.,British Journal of Sports Medicine,Expert consensus + narrative review,Athletes,10.1136/bjsports-2020-102025,https://doi.org/10.1136/bjsports-2020-102025,False,A,Athletes,"Athletes have individual sleep needs and are vulnerable to sleep restriction. Sleep extension, naps and sleep-hygiene strategies can be useful when individualized.","Track sleep opportunity and perceived sleep quality, not just wearable stages. Flag repeated short sleep and adjust demanding sessions where performance/readiness is clearly impaired.",sleep;recovery;readiness
BOURDON2017_LOAD,2017,Monitoring,Monitoring Athlete Training Loads: Consensus Statement,Bourdon PC; Cardinale M; Murray A; et al.,International Journal of Sports Physiology and Performance,Consensus statement,Athletes,10.1123/IJSPP.2017-0208,https://doi.org/10.1123/IJSPP.2017-0208,True,A,Athlete monitoring,Training-load monitoring should combine internal and external load measures and be interpreted in context; there is no single best metric.,"Combine power/duration (external load), session RPE/HR (internal load), and subjective state. Avoid automated decisions based on CTL, TSS, HRV or resting HR alone.",load;monitoring;RPE;HRV
MANRESA2021_HRV,2021,Monitoring,"Heart Rate Variability-Guided Training for Enhancing Cardiac-Vagal Modulation, Aerobic Fitness, and Endurance Performance: A Methodological Systematic Review with Meta-Analysis",Manresa-Rocamora A; Sarabia JM; Javaloyes A; et al.,International Journal of Environmental Research and Public Health,Systematic review + meta-analysis,Endurance training studies,10.3390/ijerph181910299,https://doi.org/10.3390/ijerph181910299,True,B,Endurance,"HRV-guided training can improve some aerobic/physiological outcomes and may reduce non-response, but performance advantages are modest/inconsistent and protocols differ.",Use HRV as one readiness input with individualized baselines and trends. Never cancel or prescribe intensity solely from one morning reading.,HRV;readiness;monitoring
MEEUSEN2013_OTS,2013,Recovery,"Prevention, diagnosis, and treatment of the overtraining syndrome: joint consensus statement of the ECSS and ACSM",Meeusen R; Duclos M; Foster C; et al.,Medicine & Science in Sports & Exercise,Consensus statement,Athletes,10.1249/MSS.0b013e318279a10a,https://doi.org/10.1249/MSS.0b013e318279a10a,False,A,Athletes,"Functional overreaching, non-functional overreaching and overtraining syndrome are clinically distinct concepts; persistent performance decline requires exclusion of illness and other causes.","Do not diagnose overtraining from an app. Escalate persistent unexplained performance decline, fatigue, mood/sleep disturbance or illness symptoms to a qualified clinician.",overtraining;fatigue;safety
THOMAS2016_NUTRITION,2016,Nutrition,Nutrition and Athletic Performance,Thomas DT; Erdman KA; Burke LM,Journal of the Academy of Nutrition and Dietetics / ACSM joint position,Position statement,Athletes,10.1016/j.jand.2015.12.006,https://doi.org/10.1016/j.jand.2015.12.006,False,A,Athletes,"Energy, carbohydrate, protein, fluid and micronutrient intake should be periodized to support training demands and recovery.",Tie fuelling prompts to session duration/intensity and daily training load rather than giving one fixed diet prescription.,nutrition;carbohydrate;protein;hydration
PODLOGAR2022_CARBS,2022,Nutrition,New Horizons in Carbohydrate Research and Application for Endurance Athletes,Podlogar T; Wallis GA,Sports Medicine,Review,Endurance athletes,10.1007/s40279-022-01757-1,https://doi.org/10.1007/s40279-022-01757-1,True,B,Endurance,Carbohydrate remains central to prolonged/high-intensity endurance performance. Multiple-transportable carbohydrate strategies enable high exogenous oxidation; intakes above traditional 90 g/h are an emerging advanced option for some athletes/events.,"Use tiered fuelling: lower amounts for short/easy rides; ~60–90 g/h for prolonged demanding rides; >90 g/h only as an advanced, practiced gut-training strategy rather than a universal target.",carbohydrate;gut-training;fueling
WITARD2025_PROTEIN,2025,Nutrition,Protein Nutrition for Endurance Athletes: A Metabolic Focus on Promoting Recovery and Training Adaptation,Witard OC; Hearris M; Morgan PT,Sports Medicine,Review,Endurance athletes,10.1007/s40279-025-02203-8,https://doi.org/10.1007/s40279-025-02203-8,True,B,Endurance,"Endurance athletes may benefit from protein intakes toward the upper end of traditional sports recommendations, especially under heavy load, recovery or low-carbohydrate availability.",Use a broad evidence-aware protein range rather than a rigid value; distribute protein across meals and prioritize sufficient total energy/carbohydrate first.,protein;recovery;nutrition
MOUNTJOY2023_REDS,2023,Nutrition and health,2023 International Olympic Committee’s consensus statement on Relative Energy Deficiency in Sport (REDs),Mountjoy M; Ackerman KE; Bailey DM; et al.,British Journal of Sports Medicine,IOC consensus statement,Athletes of all sexes,10.1136/bjsports-2023-106994,https://doi.org/10.1136/bjsports-2023-106994,True,A,Athletes,Problematic low energy availability can impair health and performance in athletes of all sexes; low carbohydrate availability can contribute to risk.,Never encourage chronic under-fuelling for weight loss or “train low” without safeguards. Add RED-S warning flags and refer persistent symptoms to sports medicine/dietetic professionals.,RED-S;energy-availability;health
GUEST2021_CAFFEINE,2021,Nutrition and ergogenic aids,International society of sports nutrition position stand: caffeine and exercise performance,Guest NS; VanDusseldorp TA; Nelson MT; et al.,Journal of the International Society of Sports Nutrition,Position stand,Exercise/athletic performance,10.1186/s12970-020-00383-4,https://doi.org/10.1186/s12970-020-00383-4,True,A,Athletes,"Caffeine can improve endurance and other performance outcomes for many athletes; common effective doses are around 3–6 mg/kg, with some benefit at lower doses and greater side-effect risk at high doses.","If included, make caffeine optional, individualized and bounded by sleep, tolerance, medical considerations and competition rules. Do not normalize high dosing.",caffeine;ergogenic;nutrition
SAWKA2007_FLUID,2007,Hydration,American College of Sports Medicine position stand. Exercise and fluid replacement,Sawka MN; Burke LM; Eichner ER; et al.,Medicine & Science in Sports & Exercise,Position stand,Exercising adults/athletes,10.1249/mss.0b013e31802ca597,https://doi.org/10.1249/mss.0b013e31802ca597,False,A,Exercise,"Hydration strategies should aim to avoid excessive dehydration and overdrinking, with individual sweat rates and environmental demands considered.",Estimate sweat rate from pre/post body mass when practical. Never prescribe drinking that causes body-mass gain during exercise; individualize fluid/sodium prompts by conditions and tolerance.,hydration;fluid;sodium
HOLLAND2017_CYCLING_HYDRATION,2017,Hydration,The Influence of Drinking Fluid on Endurance Cycling Performance: A Meta-Analysis,Holland JJ; Skinner TL; Irwin CG; Leveritt MD; Goulet EDB,Sports Medicine,Meta-analysis,9 studies; 15 effect estimates; endurance cycling,10.1007/s40279-017-0739-6,https://doi.org/10.1007/s40279-017-0739-6,False,A,Cycling-specific,The effect of drinking during cycling is duration- and intensity-dependent; fluid helped longer moderate-intensity cycling in the included studies but could impose a performance cost in shorter high-intensity trials.,"Individualize fluid intake by duration, intensity, heat and tolerance rather than mandating maximal replacement. Avoid both excessive dehydration and overdrinking.",hydration;cycling;fluid
IOC2015_HEAT,2015,Environment,Consensus recommendations on training and competing in the heat,Racinais S; Alonso JM; Coutts AJ; et al.,British Journal of Sports Medicine,Consensus statement,Athletes,10.1136/bjsports-2015-094915,https://doi.org/10.1136/bjsports-2015-094915,True,A,Athletes/endurance,Heat acclimation is an effective preparation strategy; repeated heat exposures over roughly 1–2 weeks produce substantial cardiovascular and thermoregulatory adaptation.,"For hot-event preparation, offer a heat-acclimation module using progressive, controlled exposure, hydration monitoring and conservative safety limits.",heat;acclimation;environment
BARBIERI2024_DETRAINING,2024,Detraining and return,Cardiorespiratory and metabolic consequences of detraining in endurance athletes,Barbieri A; Fuk A; Gallo G; et al.,Frontiers in Physiology,Systematic review,Endurance athletes,10.3389/fphys.2023.1334766,https://doi.org/10.3389/fphys.2023.1334766,True,A,Endurance,"Training cessation reduces cardiorespiratory and metabolic adaptations; partial training can attenuate losses, while longer cessation causes broader decline.","After meaningful time off, automatically reduce prior training targets and rebuild through a re-entry block rather than resuming historical load/FTP workouts unchanged.",detraining;return;retraining
OVERUSE2022_CYCLING,2022,Injury and bike fit,Factors associated with overuse injury in cyclists: A systematic review,Multiple authors,Journal of Science and Medicine in Sport,Systematic review,Cyclists; 18 included studies,10.1016/j.jsams.2021.12.008,https://doi.org/10.1016/j.jsams.2021.12.008,False,A,Cycling-specific,Evidence linking many specific bike/body-fit measures to overuse injury is weak; previous symptoms and load-related factors have more consistent support than simplistic fit rules.,"Do not diagnose pain from saddle height/knee angle formulas. Use load change and symptom history as core flags, then recommend qualified bike-fit/clinical assessment where needed.",injury;bike-fit;load
MCKAY2022_CALIBER,2022,Research quality,Defining Training and Performance Caliber: A Participant Classification Framework,McKay AKA; Stellingwerff T; Smith ES; et al.,International Journal of Sports Physiology and Performance,Methodological framework,Sport/exercise research participants,10.1123/ijspp.2021-0451,https://doi.org/10.1123/ijspp.2021-0451,True,A,Research interpretation,"A six-tier framework distinguishes sedentary through world-class participants, addressing inconsistent use of labels such as “elite”.",Store an athlete-calibre tag on every evidence rule so findings from untrained participants are not automatically applied to national/elite riders.,evidence;classification;elite
MCNULTY2020_MENSTRUAL,2020,Female athlete considerations,The Effects of Menstrual Cycle Phase on Exercise Performance in Eumenorrheic Women: A Systematic Review and Meta-Analysis,McNulty KL; Elliott-Sale KJ; Dolan E; et al.,Sports Medicine,Systematic review + meta-analysis,78 studies; eumenorrheic women,10.1007/s40279-020-01319-3,https://doi.org/10.1007/s40279-020-01319-3,True,A,Female exercise performance; mixed sports,"Average performance differences across menstrual-cycle phases were trivial, with large between-study variation and low-quality evidence limiting phase-based prescriptions.",Do not auto-periodize training by predicted cycle phase. Allow symptom tracking and individualized adaptation where repeated personal patterns exist.,female-athlete;menstrual-cycle;individualization
FEMALEATHLETE2025_CONSENSUS,2025,Female athlete considerations,Consensus Statements—Optimizing Performance of the Elite Athlete (female-athlete section),International expert consensus group,Consensus publication,Consensus,Elite athletes,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12334928/,True,A,Elite athlete,"Current evidence is insufficient to prescribe training, nutrition or injury-prevention changes by menstrual phase; athlete-specific symptoms and clinically valid information should guide adjustments.","Treat cycle tracking as context, not a deterministic training engine.",female-athlete;consensus;menstrual-cycle
JOYNER2008_CHAMPIONS,2008,Foundations,Endurance exercise performance: the physiology of champions,Joyner MJ; Coyle EF,The Journal of Physiology,Foundational review,Elite endurance performance,10.1113/jphysiol.2007.143834,https://doi.org/10.1113/jphysiol.2007.143834,True,B,Endurance,"Endurance performance can be understood through interacting determinants including VO2max, sustainable fraction/threshold and economy/efficiency, shaped by training and morphology.","Model performance as multidimensional. A rider can improve through VO2max, threshold/critical power, efficiency, anaerobic capacity and durability—not FTP alone.",VO2max;threshold;economy;foundations
LAURSEN2002_HIIT,2002,HIIT and VO2max,The Scientific Basis for High-Intensity Interval Training: Optimising Training Programmes and Maximising Performance in Highly Trained Endurance Athletes,Laursen PB; Jenkins DG,Sports Medicine,Foundational review,Highly trained endurance athletes,10.2165/00007256-200232010-00003,https://doi.org/10.2165/00007256-200232010-00003,False,B,Endurance,HIIT is a potent tool for trained endurance athletes but must be carefully dosed and integrated with lower-intensity work.,Do not turn the app into a HIIT generator. High-intensity sessions are a minority tool inside a sustainable programme.,HIIT;foundations
STEPTO1999_INTERVALS,1999,HIIT and VO2max,Effects of different interval-training programs on cycling time-trial performance,Stepto NK; Hawley JA; Dennis SC; Hopkins WG,Medicine & Science in Sports & Exercise,Cycling intervention,Trained cyclists,10.1097/00005768-199905000-00018,https://doi.org/10.1097/00005768-199905000-00018,False,B,Cycling-specific,"Different high-intensity interval formats can improve time-trial performance, reinforcing the importance of matching interval design to the athlete and target.",Maintain a library of distinct interval types rather than one generic VO2 workout.,cycling;intervals;time-trial
FOSTER2001_SESSION_RPE,2001,Monitoring,A new approach to monitoring exercise training,Foster C; Florhaug JA; Franklin J; et al.,Journal of Strength and Conditioning Research,Applied monitoring study,Athletes/exercisers,10.1519/00124278-200102000-00019,https://doi.org/10.1519/00124278-200102000-00019,False,B,Training monitoring,"Session-RPE provides a simple, low-cost measure of internal training load that can complement objective workload.","Collect session RPE after every ride/strength session. It remains valuable even when power, HR and wearable data are available.",RPE;load;monitoring
